wave,COUNTRY_ALPHA,F063,E033,A170,E023,A006,A001,E069_11,E069_12,D059,A008,E012,E114,E124,G006,X003R,A029,A041,A042,A003,A035,A034
3,PHL,9.659166666666666,6.076595744680851,6.839866555462886,0.09083333333333334,0.7833333333333333,0.9583333333333334,0.13583333333333333,0.07666666666666666,0.17083333333333334,0.4025,0.8425,0.1475,0.0,0.74,0.2425,0.5108333333333334,0.30583333333333335,0.4425,0.1425,0.47583333333333333,0.09666666666666666
3,POL,,5.712984054669704,6.421190893169878,0.05117085862966175,0.4640069384215091,0.8967909800520382,0.058109280138768434,0.014744145706851692,0.20555073720728534,0.18300086730268864,0.7224631396357328,0.0,0.0,0.6877710320901995,0.11188204683434519,0.3217692974848222,0.13876843018213356,0.4865568083261058,0.22983521248915872,0.8152645273200347,0.11014744145706852
3,PRI,9.713793103448277,6.682212581344903,8.099309153713298,0.11512027491408934,0.7121993127147767,0.9261168384879725,0.14948453608247422,0.04209621993127148,0.09106529209621993,0.42869415807560135,0.6503436426116839,0.07903780068728522,0.0,0.8402061855670103,0.0,0.27920962199312716,0.40463917525773196,0.5240549828178694,0.47079037800687284,0.743127147766323,0.13144329896907217
3,ROU,8.027272727272727,5.323372465314835,4.859805510534846,0.08555286521388217,0.37530266343825663,0.8861985472154964,0.03066989507667474,0.020984665052461663,0.4600484261501211,0.05084745762711865,0.7046004842615012,0.15899919289749798,0.0,0.4374495560936239,0.15254237288135594,0.5076674737691687,0.23002421307506055,0.13720742534301855,0.27037933817594834,0.7207425343018563,0.3946731234866828
3,RUS,5.3898218829516535,4.93351548269581,4.4531482399603375,0.09607843137254903,0.13970588235294118,0.8372549019607843,0.03235294117647059,0.010784313725490196,0.18823529411764706,0.061274509803921566,0.6887254901960784,0.14215686274509803,0.0,0.2926470588235294,0.09068627450980392,0.27794117647058825,0.21323529411764705,0.34019607843137256,0.257843137254902,0.6946078431372549,0.059313725490196076
3,SLV,9.732904263877716,6.296812749003984,7.495524816924329,0.06379585326953748,0.8652312599681021,0.9657097288676236,0.17384370015948963,0.046251993620414676,0.14513556618819776,0.5558213716108453,0.6180223285486444,0.11403508771929824,0.0,0.8484848484848485,0.2623604465709729,0.35645933014354064,0.2783094098883573,0.6236044657097288,0.6180223285486444,0.5877192982456141,0.10446570972886762
3,SRB,5.314516129032258,4.925498426023085,5.561264822134388,0.075,0.253125,0.8859375,0.08828125,0.02109375,0.2375,0.1390625,0.7078125,0.10703125,0.0,0.38359375,0.121875,0.50703125,0.28125,0.38515625,0.25859375,0.50234375,0.12734375
3,SVK,6.599624060150376,5.303312629399586,6.066788655077768,0.11141552511415526,0.2365296803652968,0.908675799086758,0.0410958904109589,0.0091324200913242,0.2502283105022831,0.06575342465753424,0.5242009132420091,0.0502283105022831,0.0,0.410958904109589,0.1232876712328767,0.2237442922374429,0.18904109589041096,0.2684931506849315,0.2557077625570776,0.5707762557077626,0.045662100456621
3,SVN,5.17125382262997,5.204851752021563,6.463,0.047666335650446874,0.1628599801390268,0.82025819265144,0.07447864945382324,0.020854021847070508,0.08639523336643495,0.13406156901688182,0.8192651439920556,0.0804369414101291,0.0,0.5729890764647467,0.1519364448857994,0.7130089374379345,0.2919563058589871,0.282025819265144,0.3326713008937438,0.7199602780536246,0.0814299900695134
3,SWE,3.9375629405840886,5.261146496815287,7.772591857000993,0.10208126858275521,0.09514370664023786,0.9018830525272548,0.031714568880079286,0.007928642220019821,0.05649157581764123,0.3924677898909812,0.8543111992071358,0.05847373637264618,0.0,0.44103072348860256,0.12091179385530228,0.6065411298315163,0.23686818632309217,0.15857284440039643,0.514370664023786,0.9038652130822596,0.3914767096134787
